time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
340.0,4.0,1520775.88310801,1395148.4166528601,327429.31845101557,76853.67714163498,105512155.47263035,85410413.04657161,66827912.47521741,300.38207315719285,11021.620815535567,0.08316973014009893,1.4901161193847656e-08,0.0
344.0,4.0,1216829.8063368534,1417392.6186064286,964059.1339637579,613257.376785217,105764926.14500345,86374472.18053538,67441169.85200262,301.1016848290486,10998.223529882873,0.08420046959513501,1.4901161193847656e-08,4.76837158203125e-07
348.0,4.0,1462016.469851023,1563730.9885652713,662541.2784391418,290277.4260883289,106564401.33641534,87037013.45897451,67731447.27809095,303.37770709736765,10231.034196441562,0.0857785771818739,1.4901161193847656e-08,4.76837158203125e-07
352.0,4.0,1337597.0607581034,1732960.8089107312,878736.2581671178,862241.3941024924,107023262.13900632,87915749.71714163,68593688.67219345,304.68403581897746,10184.726102760613,0.08662252414951113,0.0,4.76837158203125e-07
356.0,4.0,1280452.4701146025,1649473.9751413031,2101604.6476321393,366319.6823597509,106202109.96148878,90017354.36477377,68960008.35455321,302.3463014379919,10223.685817399744,0.08693868917605262,0.0,4.76837158203125e-07
360.0,4.0,1503552.5383088663,1776554.598160179,1196973.510168296,563547.0176717757,106508688.98962934,91214327.87494206,69523555.37222499,303.2190998719436,10246.857315089137,0.08769474841604279,-1.4901161193847656e-08,1.430511474609375e-06
364.0,4.0,1727297.2439226517,1564063.3119215935,161436.82593552893,116476.50368482216,108074549.40761647,91375764.70087759,69640031.8759098,307.6769407389305,10302.18115387657,0.0890323673374916,0.0,0.0
368.0,4.0,1617724.1914211684,1603077.089106163,1268114.055377082,1110709.8785786738,108424159.54366055,92643878.75625467,70750741.75448848,308.67224423729306,10300.528527117132,0.08847633714210697,0.0,4.76837158203125e-07
372.0,4.0,1636128.5098466561,1456565.0336298046,442950.12385932414,398267.074422222,109617337.9296479,93086828.880114,71149008.82891071,312.06909833077424,10237.544999122805,0.08922794105404873,1.4901161193847656e-08,4.76837158203125e-07
376.0,4.0,1655502.8238988724,1219051.954481989,707124.6331166301,494584.6190174422,110565716.12043014,93793953.51323064,71643593.44792815,314.7690318674191,10204.456882549806,0.0896639649298702,1.4901161193847656e-08,4.76837158203125e-07
380.0,4.0,1528328.105839671,1568913.9879614967,1969574.1244026637,880582.2963301565,110124470.10186714,95763527.6376333,72524175.7442583,313.51285059394775,10178.69499025491,0.08847219827036708,-1.4901161193847656e-08,0.0
384.0,4.0,1604095.2856161029,1949562.047539435,1949007.3095458553,1442255.726130778,109779558.0779374,97712534.94717915,73966431.47038908,312.53092212949014,10148.954864741425,0.0881575518523233,1.4901161193847656e-08,0.0
388.0,4.0,1541121.5907188132,1785069.0328241019,260332.92042292558,532356.5898253573,111060346.74823327,97972867.86760208,74498788.06021444,316.1771935409344,10155.292559981353,0.09096670793482503,-1.4901161193847656e-08,4.76837158203125e-07
392.0,4.0,1533808.5255667802,1842749.6960904177,1861318.4711757512,938694.250151188,110732836.80262429,99834186.33877783,75437482.31036563,315.2448069737096,10157.701034320095,0.09065820194482363,-2.9802322387695312e-08,4.76837158203125e-07
396.0,4.0,1622632.801271826,1856826.5688664997,1119952.778264243,60102.84600573298,111235516.82563187,100954139.11704206,75497585.15637137,316.67588443364156,10155.22350545054,0.09021036226220894,0.0,0.0
400.0,4.0,1511999.606246856,1805338.1253770373,978513.5348539137,445673.831350553,111769002.89702483,101932652.65189599,75943258.98772192,318.1946634919186,10167.250726027061,0.09032573036201615,1.4901161193847656e-08,4.76837158203125e-07
404.0,4.0,1668877.9670412298,1588261.02257259,814018.78691811,454679.971991151,112623862.07714795,102746671.43881409,76397938.95971307,320.6283581845595,10352.860445110464,0.09131560045784434,0.0,4.76837158203125e-07
408.0,4.0,1460765.6682908782,1755068.2511933178,1020708.86052417,958789.6268858662,113063918.88491467,103767380.29933825,77356728.58659893,321.8811538992503,10456.636612010585,0.09287802478572531,0.0,9.5367431640625e-07
412.0,4.0,1386306.8103241534,1860925.1657092315,545327.6597218576,403328.44854058005,113904898.03551696,104312707.9590601,77760057.03513952,324.2753335992889,10477.914824927304,0.09410272630259295,0.0,0.0
416.0,4.0,1385753.4540830501,1736191.091161238,909911.6261225828,297277.044439063,114380739.86347741,105222619.58518268,78057334.07957858,325.63000552440894,10398.154870049668,0.09490943591056278,-2.9802322387695312e-08,9.5367431640625e-07
420.0,4.0,1307260.3529095743,1870253.1648218373,619723.7431402991,513349.7496977062,115068276.4732467,105842343.32832298,78570683.82927628,327.58735035628035,10354.06065199053,0.0942878101254589,0.0,1.430511474609375e-06
424.0,4.0,1306132.7339115446,2048126.6652914567,1086547.483298417,417063.36372324725,115287861.72385983,106928890.8116214,78987747.19299953,328.2124866026062,10383.472241396854,0.09433002467931419,1.4901161193847656e-08,1.430511474609375e-06
428.0,4.0,1048674.9384266832,1924626.7328222757,721288.083541498,738778.2773599793,115615248.57874501,107650178.8951629,79726525.4703595,329.1445227434121,10376.546978405147,0.0930902949219289,-1.4901161193847656e-08,9.5367431640625e-07
432.0,4.0,1112476.932805458,1740844.0668160124,674346.7849780571,433916.7201655705,116053378.72657241,108324525.68014096,80160442.19052507,330.39183345872783,10595.924856685642,0.0928088472297937,0.0,9.5367431640625e-07
436.0,4.0,1319923.250484575,1844251.559503258,413217.65973960643,230606.9115375231,116960084.31731738,108737743.33988057,80391049.1020626,332.9731294607969,10621.633080183521,0.09336067141697191,1.4901161193847656e-08,0.0
440.0,4.0,1108708.1296155872,1888555.0330250799,855836.7364298239,494131.2542231538,117212955.71050313,109593580.0763104,80885180.35628575,333.6930278742739,10550.323868521267,0.09306887036566747,-1.4901161193847656e-08,9.5367431640625e-07
444.0,4.0,1339882.8720906205,1600120.3899589526,77138.77804239644,56903.086466125635,118475699.8045514,109670718.85435279,80942083.44275187,337.28792826407397,10606.261143254322,0.09395030021850312,2.9802322387695312e-08,4.76837158203125e-07
448.0,4.0,1132180.0169336523,1837287.196742811,1354793.1593988468,810367.6578294479,118253086.66208616,111025512.01375164,81752451.10058132,336.6541719262739,10877.146851009757,0.09460148622248726,-2.9802322387695312e-08,1.430511474609375e-06
452.0,4.0,1106359.185535101,1702774.095545995,69827.28112243713,54759.83795985523,119289618.56649885,111095339.29487407,81807210.93854117,339.60506986733446,10892.105473236594,0.09603154047697283,1.4901161193847656e-08,4.76837158203125e-07
456.0,4.0,1115442.6544406116,1805400.2818889737,708644.2142179762,836728.6679551802,119696417.00672147,111803983.50909205,82643939.60649635,340.76318248747594,10652.82283802551,0.09504186252586927,-1.4901161193847656e-08,9.5367431640625e-07
